State,Pollutant,Parameter_Code,Average_Concentration,Max_Concentration,Total_Measurements,Monitoring_Sites,Units
Florida,CO,42101,0.30204,3.471,69628,10,ppm
Georgia,CO,42101,0.431676,1.9,17033,2,ppm
Hawaii,CO,42101,0.109745,6.8,15376,2,ppm
Idaho,CO,42101,0.200939,2.23,8731,1,ppm
Illinois,CO,42101,0.214013,2.7,24531,3,ppm
Indiana,CO,42101,0.320908,2.4,22011,3,ppm
Iowa,CO,42101,0.18251,1.145,7723,1,ppm
Kentucky,CO,42101,0.27131,4.54,13377,2,ppm
Louisiana,CO,42101,0.315859,1.6,15575,2,ppm
Maine,CO,42101,0.164147,1.074,16141,2,ppm
Maryland,CO,42101,0.186441,2.917,30977,4,ppm
Massachusetts,CO,42101,0.262095,1.777,22901,3,ppm
Michigan,CO,42101,0.402466,2.6,51260,7,ppm
Minnesota,CO,42101,0.292138,2.6,47583,6,ppm
Mississippi,CO,42101,0.253505,1.158,8473,1,ppm
Missouri,CO,42101,0.255187,1.574,16896,2,ppm
Montana,CO,42101,0.172826,1.711,15058,2,ppm
Nebraska,CO,42101,0.222532,5.38,16992,2,ppm
Nevada,CO,42101,0.309079,2.943,40553,5,ppm
New Hampshire,CO,42101,0.121022,1.088,24314,3,ppm
New Jersey,CO,42101,0.34201,2.8,34354,5,ppm
New Mexico,CO,42101,0.194214,4.7,23520,3,ppm
New York,CO,42101,0.22333,2.091,81845,10,ppm
North Carolina,CO,42101,0.280444,1.787,33302,4,ppm
North Dakota,CO,42101,0.160918,0.966,8137,1,ppm
Ohio,CO,42101,0.229404,8.7,55649,7,ppm
Oklahoma,CO,42101,0.356062,2.1,26213,4,ppm
Oregon,CO,42101,0.190389,1.583,17339,2,ppm
Pennsylvania,CO,42101,0.304415,15.666,76527,10,ppm
Puerto Rico,CO,42101,0.19661,7.0,20117,3,ppm
Rhode Island,CO,42101,0.337601,1.747,10615,2,ppm
South Carolina,CO,42101,0.102101,1.321,8263,1,ppm
South Dakota,CO,42101,0.181904,0.7,8560,1,ppm
Tennessee,CO,42101,0.278924,1.9,26510,4,ppm
Texas,CO,42101,0.310596,6.5,87372,11,ppm
Utah,CO,42101,0.224276,2.1,60653,7,ppm
Vermont,CO,42101,0.173155,2.3,14724,2,ppm
Virginia,CO,42101,0.233601,2.02,52748,7,ppm
Washington,CO,42101,0.149569,0.957,19291,3,ppm
West Virginia,CO,42101,0.194141,4.7,7339,1,ppm
Wisconsin,CO,42101,0.228807,1.691,19039,3,ppm
Wyoming,CO,42101,0.116332,1.167,24117,3,ppm
